fecha_captura,Equipo,GF,GC
2026-06-15,Tigre,18,15
2026-06-15,Defensa y Justicia,18,21
2026-06-15,Sarmiento (J),13,20
2026-06-15,Gimnasia y Esgrima (M),14,22
2026-06-15,Banfield,17,19
2026-06-15,Platense,10,15
2026-06-15,Central Córdoba (SdE),11,21
2026-06-15,Newell's Old Boys,15,27
2026-06-15,Atlético Tucumán,15,20
2026-06-15,Deportivo Riestra,5,12
2026-06-15,Aldosivi,6,19
2026-06-15,Estudiantes (RC),5,24
2026-06-16,Independiente Rivadavia,29,15
2026-06-16,Estudiantes (LP),19,7
2026-06-16,Boca Juniors,22,9
2026-06-16,River Plate,22,12
2026-06-16,Argentinos Juniors,17,13
2026-06-16,Vélez Sarsfield,18,12
2026-06-16,Rosario Central,20,16
2026-06-16,Belgrano [n. 1],17,13
2026-06-16,Talleres (C),17,13
2026-06-16,Gimnasia y Esgrima (LP),19,19
2026-06-16,Independiente,24,20
2026-06-16,Lanús,18,15
2026-06-16,Huracán,17,13
2026-06-16,San Lorenzo,14,14
2026-06-16,Unión,24,20
2026-06-16,Racing Club,17,15
2026-06-16,Instituto,17,17
2026-06-16,Barracas Central,15,15
2026-06-16,Tigre,18,15
2026-06-16,Defensa y Justicia,18,21
2026-06-16,Sarmiento (J),13,20
2026-06-16,Gimnasia y Esgrima (M),14,22
2026-06-16,Banfield,17,19
2026-06-16,Platense,10,15
2026-06-16,Central Córdoba (SdE),11,21
2026-06-16,Newell's Old Boys,15,27
2026-06-16,Atlético Tucumán,15,20
2026-06-16,Deportivo Riestra,5,12
2026-06-16,Aldosivi,6,19
2026-06-16,Estudiantes (RC),5,24
2026-06-17,Independiente Rivadavia,29,15
2026-06-17,Estudiantes (LP),19,7
2026-06-17,Boca Juniors,22,9
2026-06-17,River Plate,22,12
2026-06-17,Argentinos Juniors,17,13
2026-06-17,Vélez Sarsfield,18,12
2026-06-17,Rosario Central,20,16
2026-06-17,Belgrano [n. 1],17,13
2026-06-17,Talleres (C),17,13
2026-06-17,Gimnasia y Esgrima (LP),19,19
2026-06-17,Independiente,24,20
2026-06-17,Lanús,18,15
2026-06-17,Huracán,17,13
2026-06-17,San Lorenzo,14,14
2026-06-17,Unión,24,20
2026-06-17,Racing Club,17,15
2026-06-17,Instituto,17,17
2026-06-17,Barracas Central,15,15
2026-06-17,Tigre,18,15
2026-06-17,Defensa y Justicia,18,21
2026-06-17,Sarmiento (J),13,20
2026-06-17,Gimnasia y Esgrima (M),14,22
2026-06-17,Banfield,17,19
2026-06-17,Platense,10,15
2026-06-17,Central Córdoba (SdE),11,21
2026-06-17,Newell's Old Boys,15,27
2026-06-17,Atlético Tucumán,15,20
2026-06-17,Deportivo Riestra,5,12
2026-06-17,Aldosivi,6,19
2026-06-17,Estudiantes (RC),5,24
2026-06-18,Independiente Rivadavia,29,15
2026-06-18,Estudiantes (LP),19,7
2026-06-18,Boca Juniors,22,9
2026-06-18,River Plate,22,12
2026-06-18,Argentinos Juniors,17,13
2026-06-18,Vélez Sarsfield,18,12
2026-06-18,Rosario Central,20,16
2026-06-18,Belgrano [n. 1],17,13
2026-06-18,Talleres (C),17,13
2026-06-18,Gimnasia y Esgrima (LP),19,19
2026-06-18,Independiente,24,20
2026-06-18,Lanús,18,15
2026-06-18,Huracán,17,13
2026-06-18,San Lorenzo,14,14
2026-06-18,Unión,24,20
2026-06-18,Racing Club,17,15
2026-06-18,Instituto,17,17
2026-06-18,Barracas Central,15,15
2026-06-18,Tigre,18,15
2026-06-18,Defensa y Justicia,18,21
2026-06-18,Sarmiento (J),13,20
2026-06-18,Gimnasia y Esgrima (M),14,22
2026-06-18,Banfield,17,19
2026-06-18,Platense,10,15
2026-06-18,Central Córdoba (SdE),11,21
2026-06-18,Newell's Old Boys,15,27
2026-06-18,Atlético Tucumán,15,20
2026-06-18,Deportivo Riestra,5,12
2026-06-18,Aldosivi,6,19
2026-06-18,Estudiantes (RC),5,24
2026-06-19,Independiente Rivadavia,29,15
2026-06-19,Estudiantes (LP),19,7
2026-06-19,Boca Juniors,22,9
2026-06-19,River Plate,22,12
2026-06-19,Argentinos Juniors,17,13
2026-06-19,Vélez Sarsfield,18,12
2026-06-19,Rosario Central,20,16
2026-06-19,Belgrano [n. 1],17,13
2026-06-19,Talleres (C),17,13
2026-06-19,Gimnasia y Esgrima (LP),19,19
2026-06-19,Independiente,24,20
2026-06-19,Lanús,18,15
2026-06-19,Huracán,17,13
2026-06-19,San Lorenzo,14,14
2026-06-19,Unión,24,20
